request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
56,BrokerDecisionRequest,1,4320,4320,2979;-1;-1,2975;-1;-1,,,,,151.75974624928307,1224.9515235059305,0:t_wait:55.419871780626636;t_drive:181.75974624928313;fare:122;add_fleet_vmt:1686.7837883444836;chosen_by_broker:False|1:t_wait:36.17924043220319;t_drive:181.75974624928313;fare:122;add_fleet_vmt:1401.0820509171504;chosen_by_broker:True,,,1,1,4356.179240432202,4537.938986681488,122,0
55,BrokerDecisionRequest,1,4320,4320,2972;-1;-1,2991;-1;-1,,,,,134.87611468093908,1408.0867039019317,0:t_wait:92.2512259812338;t_drive:194.87611468093928;fare:140;add_fleet_vmt:1275.3540487826667;chosen_by_broker:True|1:t_wait:246.33507467115032;t_drive:164.87611468093928;fare:140;add_fleet_vmt:3988.963255303612;chosen_by_broker:False,,,0,1,4412.251225981233,4607.127340662169,140,0
54,BrokerDecisionRequest,1,4260,4260,2977;-1;-1,2992;-1;-1,,,,,290.68994856816636,2881.77744065169,0:t_wait:0;t_drive:320.6899485681661;fare:288;add_fleet_vmt:2881.77744065169;chosen_by_broker:True|1:t_wait:91.50228744905871;t_drive:320.6899485681661;fare:288;add_fleet_vmt:3532.9896455843223;chosen_by_broker:False,,,0,3,4260.0,4580.689948568164,288,0
57,BrokerDecisionRequest,1,4380,4380,2983;-1;-1,2966;-1;-1,,,,,323.34893081286066,2424.2986565656774,0:t_wait:47.50530195645024;t_drive:353.348930812861;fare:242;add_fleet_vmt:2820.176172869433;chosen_by_broker:True|1:t_wait:59.33569130605338;t_drive:353.348930812861;fare:242;add_fleet_vmt:2918.7627507827874;chosen_by_broker:False,,,0,4,4427.505301956449,4780.854232769311,242,0
58,BrokerDecisionRequest,1,4440,4440,2981;-1;-1,2971;-1;-1,,,,,283.9604755859867,2389.323696549889,0:t_wait:83.15932049127969;t_drive:313.9604755859864;fare:238;add_fleet_vmt:3105.3044339772223;chosen_by_broker:False|1:t_wait:0;t_drive:313.9604755859864;fare:238;add_fleet_vmt:2389.323696549889;chosen_by_broker:True,,,1,3,4440.0,4753.960475585988,238,0
61,BrokerDecisionRequest,1,4620,4620,2979;-1;-1,2983;-1;-1,,,,,95.53311017582425,796.109251465202,0:t_wait:55.419871780626636;t_drive:125.53311017582382;fare:79;add_fleet_vmt:1257.9415163037552;chosen_by_broker:False|1:t_wait:37.42546113022854;t_drive:125.53311017582382;fare:79;add_fleet_vmt:1107.9880942171096;chosen_by_broker:True,,,1,4,4657.425461130228,4782.958571306049,79,0
59,BrokerDecisionRequest,1,4440,4440,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:139.41977141386178;t_drive:237.20330926693805;fare:261;add_fleet_vmt:4170.251669756366;chosen_by_broker:True|1:t_wait:224.8661605739444;t_drive:237.20330926693805;fare:261;add_fleet_vmt:4485.613315340688;chosen_by_broker:False,,,0,0,4579.419771413864,4816.623080680803,261,0
62,BrokerDecisionRequest,1,4620,4620,2991;-1;-1,2987;-1;-1,,,,,221.9190199009194,2598.4939430683253,0:t_wait:17.127340662169445;t_drive:251.919019900919;fare:259;add_fleet_vmt:2598.4939430683253;chosen_by_broker:True|1:t_wait:223.59472923360227;t_drive:251.919019900919;fare:259;add_fleet_vmt:4790.293873240063;chosen_by_broker:False,,,0,1,4637.127340662169,4889.046360563087,259,0
60,BrokerDecisionRequest,1,4560,4560,2973;-1;-1,2969;-1;-1,,,,,172.5497643587172,1931.331838315517,0:t_wait:200.9820240347617;t_drive:202.54976435871686;fare:193;add_fleet_vmt:4039.3234646570654;chosen_by_broker:False|1:t_wait:113.99515611491188;t_drive:202.54976435871686;fare:193;add_fleet_vmt:3248.2746763125824;chosen_by_broker:True,,,1,1,4673.99515611491,4936.528024473626,193,0
64,BrokerDecisionRequest,1,4860,4860,2966;-1;-1,2992;-1;-1,,,,,131.62933504116845,1285.4828948015352,0:t_wait:0;t_drive:161.62933504116882;fare:128;add_fleet_vmt:1285.4828948015352;chosen_by_broker:True|1:t_wait:280.0016795881147;t_drive:161.62933504116882;fare:128;add_fleet_vmt:3274.765005111759;chosen_by_broker:False,,,0,4,4860,5021.629335041171,128,0
63,BrokerDecisionRequest,1,4680,4680,2989;-1;-1,2967;-1;-1,,,,,195.59465388777056,1983.0931625223561,0:t_wait:189.3062026409716;t_drive:225.59465388777062;fare:198;add_fleet_vmt:4068.5128486134845;chosen_by_broker:False|1:t_wait:103.45610253159975;t_drive:274.3673578877706;fare:198;add_fleet_vmt:1261.3564516273868;chosen_by_broker:True,,,1,1,4783.456102531601,5057.823460419366,198,0
67,BrokerDecisionRequest,1,4980,4980,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:0;t_drive:157.42579406656023;fare:138;add_fleet_vmt:1389.2919531006646;chosen_by_broker:True|1:t_wait:102.64252223845051;t_drive:157.42579406656023;fare:138;add_fleet_vmt:2648.805454922713;chosen_by_broker:False,,,0,1,4980,5137.425794066561,138,0
66,BrokerDecisionRequest,1,4920,4920,2979;-1;-1,2993;-1;-1,,,,,232.48349158289756,3080.5375188469166,0:t_wait:36.17924043220319;t_drive:262.48349158289784;fare:308;add_fleet_vmt:3256.6680462581367;chosen_by_broker:True|1:t_wait:37.42546113022854;t_drive:262.48349158289784;fare:308;add_fleet_vmt:3392.416361598824;chosen_by_broker:False,,,0,0,4956.179240432202,5218.662732015098,308,0
65,BrokerDecisionRequest,1,4920,4920,2980;-1;-1,2972;-1;-1,,,,,344.7104419812344,2999.8842262698045,0:t_wait:100.56894011848726;t_drive:374.710441981234;fare:299;add_fleet_vmt:3794.5205514016798;chosen_by_broker:False|1:t_wait:0;t_drive:374.710441981234;fare:299;add_fleet_vmt:2999.8842262698045;chosen_by_broker:True,,,1,2,4920,5294.710441981238,299,0
68,BrokerDecisionRequest,1,4980,4980,2986;-1;-1,2992;-1;-1,,,,,225.37832508265683,2665.0618483702337,0:t_wait:253.043722126391;t_drive:255.37832508265637;fare:266;add_fleet_vmt:3339.413178771033;chosen_by_broker:True|1:t_wait:98.46761277137193;t_drive:255.37832508265637;fare:266;add_fleet_vmt:3613.1605513672125;chosen_by_broker:False,,,0,2,5125.972914727823,5381.351239810475,266,0
69,BrokerDecisionRequest,1,5100,5100,2968;-1;-1,2981;-1;-1,,,,,194.08476562277556,2596.441960617133,0:t_wait:28.14974705802433;t_drive:224.0847656227752;fare:259;add_fleet_vmt:2987.410669756365;chosen_by_broker:False|1:t_wait:26.294029957854036;t_drive:224.0847656227752;fare:259;add_fleet_vmt:2961.6368211428803;chosen_by_broker:True,,,1,1,5126.294029957855,5350.378795580632,259,0
70,BrokerDecisionRequest,1,5160,5160,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:t_wait:167.86452985002052;t_drive:230.30021679086167;fare:216;add_fleet_vmt:4005.2707381193413;chosen_by_broker:False|1:t_wait:48.59984980275658;t_drive:230.30021679086167;fare:216;add_fleet_vmt:2526.120193042055;chosen_by_broker:True,,,1,3,5208.599849802757,5438.900066593619,216,0
71,BrokerDecisionRequest,1,5220,5220,2985;-1;-1,2967;-1;-1,,,,,251.88232020006052,2621.804225000841,0:t_wait:44.908890042597704;t_drive:281.88232020006035;fare:262;add_fleet_vmt:3008.5300273845182;chosen_by_broker:True|1:t_wait:77.75857475413977;t_drive:281.88232020006035;fare:262;add_fleet_vmt:3282.277399980698;chosen_by_broker:False,,,0,1,5264.908890042598,5546.79121024266,262,0
75,BrokerDecisionRequest,1,5460,5460,2984;-1;-1,2986;-1;-1,,,,,65.61792805983069,674.351330400799,0:t_wait:280.180648571798;t_drive:95.61792805983077;fare:67;add_fleet_vmt:3523.8411516297674;chosen_by_broker:False|1:t_wait:32.84968471154116;t_drive:95.61792805983077;fare:67;add_fleet_vmt:948.098702996979;chosen_by_broker:True,,,1,4,5492.849684711543,5588.467612771374,67,0
73,BrokerDecisionRequest,1,5400,5400,2978;-1;-1,2969;-1;-1,,,,,213.5128417430813,2609.13704257042,0:t_wait:281.2506428399174;t_drive:243.51284174308148;fare:260;add_fleet_vmt:6065.362396986098;chosen_by_broker:False|1:t_wait:0;t_drive:243.51284174308148;fare:260;add_fleet_vmt:2609.13704257042;chosen_by_broker:True,,,1,0,5400,5643.512841743081,260,0
72,BrokerDecisionRequest,1,5400,5400,2967;-1;-1,2981;-1;-1,,,,,220.37879558062934,2961.6368211428808,0:t_wait:5.864769547126343;t_drive:250.37879558062923;fare:296;add_fleet_vmt:3043.0919537418627;chosen_by_broker:True|1:t_wait:207.75564060536271;t_drive:250.37879558062923;fare:296;add_fleet_vmt:5239.53544859832;chosen_by_broker:False,,,0,0,5405.864769547126,5703.052973127757,296,0
74,BrokerDecisionRequest,1,5460,5460,2969;-1;-1,2979;-1;-1,,,,,215.43577253000473,2566.624800181488,0:t_wait:33.79644102995553;t_drive:275.4357725300042;fare:256;add_fleet_vmt:409.59452741122004;chosen_by_broker:True|1:t_wait:183.51284174308057;t_drive:245.43577253000512;fare:256;add_fleet_vmt:2566.624800181488;chosen_by_broker:False,,,0,0,5493.796441029955,5769.232213559959,256,0
76,BrokerDecisionRequest,1,5460,5460,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:280.180648571798;t_drive:274.3633171424872;fare:249;add_fleet_vmt:5345.212;chosen_by_broker:False|1:t_wait:32.84968471154116;t_drive:350.99625314248715;fare:249;add_fleet_vmt:2665.0618483702337;chosen_by_broker:True,,,1,3,5515.226698019299,5789.590015161783,249,0
