sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
1500,0.0,0.0908501148223877,0.0,0.12966084480285645,0.004606723785400391,4,6,23,0,4,3,0.25028999999999996,0.22642
1560,0.0,0.025671958923339844,0.0,0.023854732513427734,0.003054380416870117,6,8,15,0,3,5,0.04217,0.05415
1620,0.0,0.03631734848022461,0.0,0.025287628173828125,0.0032062530517578125,2,5,15,0,3,4,0.09067,0.06786
1680,0.0,0.10990738868713379,0.001611471176147461,0.10764431953430176,0.0031745433807373047,4,6,24,0,5,4,0.36655000000000004,0.22547
1740,0.0,0.0,0.10149121284484863,0.009544610977172852,0.003450155258178711,23,17,18,0,5,3,0.0,0.1158
1800,0.0,0.0,0.004110574722290039,0.017329692840576172,0.0016293525695800781,9,9,11,0,3,3,0.0,0.02625
1860,0.0,0.0,0.007050275802612305,0.0,0.0031633377075195312,6,5,5,0,2,3,0.0,0.01214
1920,0.0,0.0,0.0,0.0,0.0031363964080810547,5,5,5,0,1,4,0.0,0.00465
1980,0.0,0.0,0.0,0.0015156269073486328,0.0025348663330078125,4,4,4,0,0,4,0.0,0.00456
2040,0.0,0.07931852340698242,0.0,0.01752018928527832,0.0033044815063476562,3,3,10,0,2,3,0.08197,0.10218
2100,0.0,0.021363496780395508,0.003030061721801758,0.01822376251220703,0.0030412673950195312,5,5,11,0,3,2,0.0741,0.04716
2160,0.0,0.01364278793334961,0.012951135635375977,0.013259410858154297,0.0016107559204101562,8,8,14,0,4,2,0.02424,0.04439
2220,0.0,0.0,0.017432689666748047,0.001589059829711914,0.0032219886779785156,8,7,9,0,3,2,0.0,0.02408
2280,0.0,0.028293848037719727,0.0,0.0016238689422607422,0.0015726089477539062,3,3,6,0,1,4,0.06775,0.03409
2340,0.0,0.029493331909179688,0.0015540122985839844,0.0063130855560302734,0.0029501914978027344,5,5,9,0,2,2,0.04822,0.04151
2400,0.0,0.01361227035522461,0.0,0.024179458618164062,0.0015909671783447266,5,6,10,0,2,3,0.01503,0.04248
