sim_time,reservation_time_trigger,dyn_fleetsizing_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
3840,0.0,0.0,0.06803560256958008,0.0,0.014948606491088867,0.002063751220703125,0,0,6,0,3,0,0.23553999999999997,0.08752
3900,0.0,0.0,0.0,0.03433394432067871,0.0,0.003621816635131836,6,5,5,0,3,0,0.0,0.03842
3960,0.0,0.0,0.0,0.019758939743041992,0.0,0.0031409263610839844,4,4,4,0,2,1,0.0,0.02332
4020,0.0,0.0,0.0,0.014162778854370117,0.0,0.0030379295349121094,4,3,3,0,2,1,0.0,0.01762
4080,0.0,0.0,0.0,0.0015916824340820312,0.0,0.0031898021697998047,3,3,3,0,2,1,0.0,0.00616
4140,0.0,0.0,0.0,0.0,0.0,0.0015654563903808594,2,2,2,0,0,3,0.0,0.00395
4200,0.0,0.0,0.0,0.0,0.0,0.0015635490417480469,2,2,2,0,0,3,0.0,0.00376
4260,0.0,0.0,0.0,0.001544952392578125,0.0015609264373779297,0.0016252994537353516,2,2,2,0,0,2,0.02035,0.00563
4320,0.0,0.0,0.06629252433776855,0.0015780925750732422,0.03528618812561035,0.003099203109741211,0,4,4,0,2,2,0.07941999999999999,0.10824
4380,0.0,0.0,0.0,0.0010097026824951172,0.0005059242248535156,0.0025391578674316406,4,4,4,0,2,2,0.08779,0.00553
4440,0.0,0.0,0.019110918045043945,0.0016164779663085938,0.004748106002807617,0.003205537796020508,1,3,5,0,2,3,0.10632,0.02933
4500,0.0,0.0,0.0,0.0,0.019525766372680664,0.003225564956665039,2,3,3,0,1,2,0.0,0.02387
4560,0.0,0.0,0.03675699234008789,0.0,0.012310504913330078,0.002634763717651367,1,3,3,0,1,3,0.06458,0.05307
4620,0.0,0.0,0.0,0.0,0.0,0.0032033920288085938,3,3,3,0,1,3,0.07324,0.00435
4680,0.0,0.0,0.038530826568603516,0.000423431396484375,0.0015976428985595703,0.0026023387908935547,1,1,5,0,2,2,0.05907,0.04517
4740,0.0,0.0,0.0,0.0018277168273925781,0.0,0.001615762710571289,5,5,5,0,2,2,0.0,0.00507
4800,0.0,0.0,0.0,0.0015959739685058594,0.007210969924926758,0.0034072399139404297,4,4,5,0,2,1,0.0,0.01306
4860,0.0,0.0,0.0,0.0016770362854003906,0.0,0.0031571388244628906,4,4,4,0,1,2,0.03168,0.00558
4920,0.0,0.0,0.0,0.007940292358398438,0.0,0.0015790462493896484,4,3,3,0,1,2,0.09919,0.01131
4980,0.0,0.0,0.031738996505737305,0.0,0.007891654968261719,0.0014395713806152344,1,3,3,0,1,3,0.11768,0.04365
5040,0.0,0.0,0.0,0.0,0.0,0.0032508373260498047,2,2,2,0,1,2,0.0,0.00398
5100,0.0,0.0,0.0364227294921875,0.0,0.01110982894897461,0.003216266632080078,1,3,3,0,1,3,0.07341,0.05329
5160,0.0,0.0,0.03968954086303711,0.0,0.0015599727630615234,0.003140687942504883,1,4,5,0,2,2,0.0545,0.04521
5220,0.0,0.0,0.0,0.0,0.0,0.0030863285064697266,5,5,5,0,2,2,0.0682,0.00466
5280,0.0,0.0,0.0,0.0,0.0019822120666503906,0.001569986343383789,2,2,2,0,1,1,0.0,0.00421
5340,0.0,0.0,0.0,0.0,0.0,0.0031805038452148438,2,2,2,0,1,1,0.0,0.00384
5400,0.0,0.041,0.01895427703857422,0.0,0.017290115356445312,0.0015947818756103516,1,3,4,0,2,1,0.058649999999999994,0.03995
5460,0.0,0.0,0.04129219055175781,0.0,0.0282442569732666,0.004256248474121094,0,3,5,0,2,3,0.08238999999999999,0.07579
5520,0.0,0.0,0.0,0.0,0.0,0.0035779476165771484,5,5,5,0,2,3,0.08549,0.00538
5580,0.0,0.0,0.0,0.0,0.0,0.0031366348266601562,5,5,5,0,2,2,0.07935,0.00532
5640,0.0,0.0,0.0,0.0015752315521240234,0.0,0.003194093704223633,5,5,5,0,2,2,0.0,0.00545
5700,0.0,0.0,0.0,0.0,0.0,0.0031614303588867188,2,2,4,0,2,1,0.11207,0.00496
5760,0.0,0.0,0.0,0.0,0.0005085468292236328,0.00152587890625,2,2,2,0,0,3,0.03708,0.00399
5820,0.0,0.0,0.0,0.0,0.0,0.003042936325073242,2,2,2,0,0,3,0.0,0.00409
5880,0.0,0.0,0.0,0.0,0.004667758941650391,0.0031828880310058594,1,1,1,0,0,1,0.0,0.00861
5940,0.0,0.0,0.0,0.0,0.0,0.002551555633544922,1,1,1,0,0,1,0.0,0.00354
6000,0.0,0.0,0.0,0.0,0.0,0.0015506744384765625,1,1,1,0,0,1,0.0,0.00367
6060,0.0,0.0,0.0,0.0,0.0,0.001567840576171875,1,1,1,0,0,1,0.03704,0.00335
6120,0.0,0.0,0.0,0.0,0.0,0.0015363693237304688,0,0,0,0,0,0,0.0,0.003
6180,0.0,0.0,0.0,0.0,0.0,0.0030863285064697266,0,0,0,0,0,0,0.0,0.00358
6240,0.0,0.0,0.02999567985534668,0.0,0.0,0.003395557403564453,0,0,1,0,1,0,0.03127,0.03442
6300,0.0,0.0,0.0,0.0,0.0,0.001630544662475586,1,1,1,0,1,0,0.0,0.00344
6360,0.0,0.0,0.0,0.0,0.0,0.0015647411346435547,1,1,1,0,1,0,0.0,0.00345
6420,0.0,0.0,0.0,0.0,0.0,0.0022835731506347656,1,1,1,0,1,0,0.0388,0.00339
6480,0.0,0.0,0.0,0.0,0.0,0.0034055709838867188,1,1,1,0,1,0,0.0,0.00351
6540,0.0,0.0,0.008158445358276367,0.0015513896942138672,0.001588582992553711,0.0031511783599853516,0,2,3,0,1,1,0.00826,0.01435
6600,0.0,0.0,0.03641223907470703,0.0,0.0015633106231689453,0.0036230087280273438,2,2,5,0,2,1,0.07621,0.043
6660,0.0,0.0,0.0,0.0032033920288085938,0.0,0.0026319026947021484,5,5,5,0,2,1,0.12872999999999998,0.00589
6720,0.0,0.0,0.0,0.0,0.007763862609863281,0.0015192031860351562,2,2,2,0,1,1,0.0,0.0109
6780,0.0,0.0,0.0,0.0,0.0,0.0015938282012939453,1,1,1,0,1,0,0.0,0.00364
6840,0.0,0.0,0.020407915115356445,0.0,0.0010073184967041016,0.003033876419067383,1,1,3,0,2,0,0.09514,0.02499
6900,0.0,0.0,0.032732486724853516,0.0,0.00616765022277832,0.0030393600463867188,0,2,6,0,3,1,0.04073,0.04421
6960,0.0,0.0,0.0,0.0020461082458496094,0.0,0.002559661865234375,6,6,6,0,3,1,0.0,0.00624
7020,0.0,0.0,0.0,0.007700443267822266,0.0,0.0030651092529296875,4,4,4,0,2,2,0.0,0.01209
7080,0.0,0.0,0.0,0.0,0.0,0.0030448436737060547,3,3,3,0,1,3,0.0,0.00456
7140,0.0,0.0,0.040375471115112305,0.0,0.022217273712158203,0.0030591487884521484,2,4,6,0,2,3,0.04108,0.06733
