sim_time,reservation_time_trigger,charging_strategy,dyn_fleetsizing_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
1200,0.0,0.0,0.0,0.0015573501586914062,0.0,0.0,0.002079486846923828,0.0,0.0,0.0,0,0,3,0.04625,0.03017
1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0028727054595947266,0.0,0.0,0.0,0,0,3,0.0,0.01066
1320,0.0,0.0,0.0,0.0015294551849365234,0.0,0.0,0.0030183792114257812,0.0,0.0,0.0,0,0,2,0.04126,0.00815
1380,0.0,0.0,0.0,0.0005085468292236328,0.0,0.0,0.0025148391723632812,0.0,0.0,0.0,0,0,0,0.0,0.00479
1440,0.0,0.0,0.0,0.0015463829040527344,0.0,0.0,0.003181934356689453,0.0,0.0,0.0,0,0,0,0.02877,0.00541
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0025386810302734375,0.0,0.0,0.0,0,0,0,0.11066000000000001,0.00556
1560,0.0,0.0,0.0,0.0016279220581054688,0.0,0.0,0.0031766891479492188,0.0,0.0,0.0,0,0,0,0.02139,0.00512
1620,0.0,0.0,0.0,0.0,0.0,0.0,0.0015342235565185547,0.0,0.0,0.0,0,0,0,0.051699999999999996,0.00478
1680,0.0,0.0,0.0,0.03889298439025879,0.0,0.0,0.0031585693359375,0.0,0.0,0.0,0,2,0,0.15173,0.11033
1740,0.0,0.0,0.0,0.0016102790832519531,0.0,0.0,0.0031194686889648438,0.0,0.0,0.0,0,2,0,0.0,0.00803
1800,0.0,0.0,0.035,0.001634836196899414,0.0,0.0,0.003160715103149414,0.0,0.0,0.0,0,2,0,0.0,0.00859
1860,0.0,0.0,0.0,0.0010066032409667969,0.0,0.0,0.003155946731567383,0.0,0.0,0.0,0,0,2,0.0,0.00739
1920,0.0,0.0,0.0,0.0015530586242675781,0.0,0.0,0.001882314682006836,0.0,0.0,0.0,0,0,2,0.0,0.00753
1980,0.0,0.0,0.0,0.0015516281127929688,0.0,0.0,0.002519845962524414,0.0,0.0,0.0,0,0,2,0.0,0.00923
2040,0.0,0.0,0.0,0.0016269683837890625,0.0,0.0,0.0031147003173828125,0.0,0.0,0.0,0,0,2,0.07397000000000001,0.00689
2100,0.0,0.0,0.0,0.0015647411346435547,0.0,0.0,0.0036003589630126953,0.0,0.0,0.0,0,0,1,0.04009,0.01523
2160,0.0,0.0,0.0,0.0,0.0,0.0,0.001556396484375,0.0,0.0,0.0,0,0,1,0.02454,0.00949
2220,0.0,0.0,0.0,0.0,0.0,0.0,0.0020825862884521484,0.0,0.0,0.0,0,0,1,0.0,0.00804
2280,0.0,0.0,0.0,0.0,0.0,0.0,0.0015959739685058594,0.0,0.0,0.0,0,0,1,0.03148,0.00694
2340,0.0,0.0,0.0,0.0,0.0,0.0,0.001512765884399414,0.0,0.0,0.0,0,0,1,0.06115,0.00637
2400,0.0,0.0,0.0,0.0015676021575927734,0.0,0.0,0.0015714168548583984,0.0,0.0,0.0,0,0,0,0.02217,0.00505
2460,0.0,0.0,0.0,0.0,0.0,0.0,0.0020225048065185547,0.0,0.0,0.0,0,0,0,0.03997,0.00457
2520,0.0,0.0,0.0,0.0005066394805908203,0.0,0.0,0.002527952194213867,0.0,0.0,0.0,0,0,0,0.04279,0.00537
2580,0.0,0.0,0.0,0.0010080337524414062,0.0,0.0,0.0025250911712646484,0.0,0.0,0.0,0,0,0,0.04099,0.00486
2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0025262832641601562,0.0,0.0,0.0,0,0,0,0.0,0.00565
2700,0.0,0.0,0.0,0.0005047321319580078,0.0,0.0,0.002020597457885742,0.0,0.0,0.0,0,0,0,0.04081,0.00468
2760,0.0,0.0,0.0,0.03952741622924805,0.0,0.0,0.0015556812286376953,0.0,0.0,0.0,0,1,0,0.03962,0.04846
2820,0.0,0.0,0.0,0.0,0.0,0.0,0.0015521049499511719,0.0,0.0,0.0,0,1,0,0.0,0.00765
2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0016155242919921875,0.0,0.0,0.0,0,1,0,0.10655999999999999,0.00712
2940,0.0,0.0,0.0,0.0,0.0,0.0,0.003134012222290039,0.0,0.0,0.0,0,1,0,0.07238,0.00976
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.003221273422241211,0.0,0.0,0.0,0,1,0,0.02905,0.00695
