sim_time,reservation_time_trigger,charging_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
6060,0.0,0.044,0.025420665740966797,0.0,0.0015871524810791016,0.001600503921508789,0,0,1,0,1,0,0.02743,0.02915
6120,0.0,0.0,0.0,0.0,0.0,0.0032384395599365234,0,1,1,0,0,1,0.0,0.00399
6180,0.0,0.0,0.0,0.0,0.0,0.0016603469848632812,1,1,1,0,0,1,0.0,0.00408
6240,0.0,0.0,0.0,0.0,0.0,0.002026081085205078,1,1,1,0,0,1,0.03671,0.00366
6300,0.0,0.0,0.0,0.0,0.0,0.001567840576171875,1,1,1,0,0,1,0.0,0.00356
6360,0.0,0.0,0.0,0.0,0.0,0.0032019615173339844,1,1,1,0,0,1,0.0,0.00375
6420,0.0,0.0,0.029832124710083008,0.0,0.0,0.003364086151123047,0,0,2,0,1,0,0.0307,0.03406
6480,0.0,0.0,0.0,0.001573324203491211,0.0,0.0015821456909179688,2,2,2,0,1,0,0.0,0.00392
6540,0.0,0.061,0.02449488639831543,0.0,0.0014579296112060547,0.00153350830078125,1,1,4,0,2,0,0.02467,0.02986
6600,0.0,0.0,0.0,0.0015680789947509766,0.0,0.0015799999237060547,1,2,2,0,0,2,0.09065000000000001,0.00446
6660,0.0,0.0,0.0,0.0,0.0,0.0029926300048828125,2,2,2,0,0,2,0.04704,0.00417
6720,0.0,0.0,0.0,0.0015397071838378906,0.0,0.0015516281127929688,2,2,2,0,0,2,0.0,0.00397
6780,0.0,0.0,0.0,0.0,0.0,0.0016255378723144531,2,2,2,0,0,2,0.0,0.00388
6840,0.0,0.062,0.025107145309448242,0.0,0.008110761642456055,0.0034182071685791016,1,3,3,0,1,2,0.10200000000000001,0.03888
6900,0.0,0.0,0.0,0.0,0.0,0.003011465072631836,1,2,2,0,0,2,0.058480000000000004,0.00432
6960,0.0,0.0,0.0,0.0015878677368164062,0.0,0.0016069412231445312,1,1,1,0,0,1,0.0,0.00405
7020,0.0,0.0,0.0,0.0,0.0015459060668945312,0.0015418529510498047,1,1,1,0,0,1,0.0,0.00396
7080,0.0,0.0,0.0,0.0010113716125488281,0.0,0.0019230842590332031,1,1,1,0,0,1,0.0,0.00377
7140,0.0,0.0,0.04203176498413086,0.0,0.0032067298889160156,0.0016105175018310547,1,1,2,0,1,1,0.04064,0.04912
