sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
2640,0.0,0.0,0.0015976428985595703,0.0,0.003180265426635742,10,8,8,0,2,3,0.0,0.0052
2700,0.0,0.03134489059448242,0.0,0.044797420501708984,0.0021173954010009766,8,7,13,1,2,3,4e-05,0.07962
2760,0.0,0.03403186798095703,0.0,0.010972261428833008,0.001959085464477539,5,4,10,1,1,4,4e-05,0.04932
2820,0.0,0.0,0.004753589630126953,0.0,0.0031337738037109375,4,5,5,0,1,4,0.0,0.0098
2880,0.0,0.07394146919250488,0.0015730857849121094,0.10063052177429199,0.003144979476928711,5,4,12,2,1,4,8e-05,0.18135
2940,0.0,0.033438682556152344,0.0017397403717041016,0.02691650390625,0.003168821334838867,7,5,10,1,2,4,4e-05,0.06595
3000,0.0,0.027467727661132812,0.005548954010009766,0.036284685134887695,0.0030317306518554688,6,6,10,1,2,2,4e-05,0.07344
3060,0.0,0.08112025260925293,0.0397493839263916,0.1224675178527832,0.003099203109741211,10,8,22,3,3,2,0.00015000000000000001,0.24882
3120,0.0,0.0,0.03660774230957031,0.0,0.003170490264892578,17,15,15,0,5,3,0.0,0.04223
3180,0.0,0.0,0.014410018920898438,0.0015363693237304688,0.001583099365234375,7,7,7,0,2,5,0.0,0.02129
3240,0.0,0.0,0.0,0.0,0.002032756805419922,4,4,4,0,1,4,0.0,0.00484
3300,0.0,0.02999591827392578,0.0,0.06399869918823242,0.0015325546264648438,4,4,8,1,0,5,6e-05,0.09803
3360,0.0,0.015493631362915039,0.0,0.059365034103393555,0.0032286643981933594,5,5,9,1,0,6,5e-05,0.07876
3420,0.0,0.03595232963562012,0.0,0.020457983016967773,0.0031752586364746094,5,5,6,1,0,7,6e-05,0.06144
3480,0.0,0.0,0.0,0.018642902374267578,0.002130746841430664,4,4,4,0,1,4,0.0,0.02248
3540,0.0,0.0,0.0,0.0,0.0016636848449707031,3,3,3,0,0,4,0.0,0.00432
3600,0.0,0.043618202209472656,0.0,0.10181546211242676,0.0035660266876220703,2,2,9,2,0,3,7.000000000000001e-05,0.14978
3660,0.0,0.0,0.0,0.018825054168701172,0.003392934799194336,5,4,4,0,1,3,0.0,0.02313
3720,0.0,0.01745891571044922,0.0,0.04382514953613281,0.0029311180114746094,4,4,9,1,1,3,7e-05,0.06652
3780,0.0,0.0,0.022280216217041016,0.018968820571899414,0.003198862075805664,4,3,5,0,2,0,0.0,0.04466
3840,0.0,0.10338139533996582,0.0,0.040087223052978516,0.0031778812408447266,2,2,12,3,0,2,0.00013,0.14885
3900,0.0,0.0,0.03310585021972656,0.0,0.003163576126098633,12,10,10,0,3,2,0.0,0.03797
3960,0.0,0.0,0.018659353256225586,0.0,0.003175973892211914,10,10,10,0,3,2,0.0,0.02443
4020,0.0,0.0,0.0,0.0,0.0016062259674072266,4,4,4,0,1,4,0.0,0.00437
4080,0.0,0.0,0.0004124641418457031,0.0,0.002633810043334961,3,3,3,0,1,3,0.0,0.00428
4140,0.0,0.0,0.0,0.0015554428100585938,0.0015735626220703125,3,3,3,0,0,3,0.0,0.00541
4200,0.0,0.0,0.0,0.0,0.0015726089477539062,2,2,2,0,0,2,0.0,0.00371
4260,0.0,0.030037879943847656,0.0,0.0015552043914794922,0.0032644271850585938,2,2,5,1,0,2,5e-05,0.03604
4320,0.0,0.054643869400024414,0.0,0.08331561088562012,0.0031147003173828125,3,3,10,2,0,3,7.000000000000001e-05,0.14383
4380,0.0,0.02509021759033203,0.0,0.12427759170532227,0.0026128292083740234,6,5,8,1,1,3,6e-05,0.15502
4440,0.0,0.05431175231933594,0.0,0.04528641700744629,0.0026845932006835938,4,4,8,2,0,5,6.000000000000001e-05,0.10484
4500,0.0,0.0,0.009939908981323242,0.025176286697387695,0.002680540084838867,7,7,8,0,2,4,0.0,0.03966
4560,0.0,0.021030664443969727,0.010055065155029297,0.005875825881958008,0.0036046504974365234,8,7,11,1,2,4,4e-05,0.04233
4620,0.0,0.049959659576416016,0.0,0.18728017807006836,0.003057718276977539,5,5,16,2,2,3,6.000000000000001e-05,0.24191
4680,0.0,0.02843761444091797,0.014527082443237305,0.05803990364074707,0.004170656204223633,7,6,9,1,2,4,6e-05,0.10712
4740,0.0,0.0,0.014562606811523438,0.0,0.0031201839447021484,9,9,9,0,3,4,0.0,0.01958
4800,0.0,0.0,0.011495351791381836,0.0019259452819824219,0.002109050750732422,9,8,8,0,3,4,0.0,0.01798
4860,0.0,0.031012535095214844,0.0,0.03330206871032715,0.003202199935913086,4,4,6,1,2,3,5e-05,0.06815
4920,0.0,0.06657171249389648,0.001957416534423828,0.10515952110290527,0.0031816959381103516,5,5,6,2,0,6,8e-05,0.17825
4980,0.0,0.06073427200317383,0.0015795230865478516,0.04179549217224121,0.003192424774169922,6,6,10,2,1,5,6.000000000000001e-05,0.10961
5040,0.0,0.0,0.0010271072387695312,0.003157377243041992,0.0031659603118896484,5,5,6,0,2,3,0.0,0.00832
5100,0.0,0.034699440002441406,0.00675654411315918,0.09320282936096191,0.0018520355224609375,5,4,9,1,2,2,6e-05,0.1387
5160,0.0,0.029830455780029297,0.0,0.009630680084228516,0.0015578269958496094,3,3,5,1,0,3,5e-05,0.04369
5220,0.0,0.028531551361083984,0.0015614032745361328,0.007784128189086914,0.0037055015563964844,5,5,9,1,1,3,4e-05,0.04319
5280,0.0,0.0,0.004775047302246094,0.0,0.003146648406982422,9,7,7,0,2,3,0.0,0.01032
5340,0.0,0.0,0.0,0.0,0.0033626556396484375,5,5,5,0,1,3,0.0,0.00459
5400,0.0,0.06213235855102539,0.0,0.0035250186920166016,0.003589630126953125,3,3,11,2,0,3,8e-05,0.0711
5460,0.0,0.0892186164855957,0.0,0.00786280632019043,0.002984285354614258,5,5,18,3,1,3,8e-05,0.10183
5520,0.0,0.11385536193847656,0.0005123615264892578,0.11792612075805664,0.0040853023529052734,13,10,28,4,3,4,0.00012,0.23828
5580,0.0,0.06630825996398926,0.014605522155761719,0.160963773727417,0.001798391342163086,8,8,18,3,4,5,9e-05,0.24693
5640,0.0,0.0,0.0010139942169189453,0.0,0.0038480758666992188,7,7,7,0,2,7,0.0,0.00696
5700,0.0,0.055367231369018555,0.0010106563568115234,0.14855432510375977,0.003152608871459961,6,5,11,2,2,5,6.000000000000001e-05,0.21024
5760,0.0,0.03283524513244629,0.010271549224853516,0.042371273040771484,0.0031054019927978516,10,11,16,1,4,4,4e-05,0.09191
5820,0.0,0.0,0.0015799999237060547,0.02862262725830078,0.0015707015991210938,8,8,9,0,3,5,0.0,0.03528
5880,0.0,0.0,0.02201533317565918,0.0015704631805419922,0.0035817623138427734,9,8,8,0,3,5,0.0,0.02839
5940,0.0,0.0,0.0,0.06177639961242676,0.003274202346801758,6,6,7,0,3,3,0.0,0.0669
6000,0.0,0.0,0.0015707015991210938,0.0,0.0031557083129882812,4,4,4,0,0,4,0.0,0.00538
6060,0.0,0.025201797485351562,0.0005156993865966797,0.001031637191772461,0.0026276111602783203,3,3,7,1,0,3,0.00011,0.0317
6120,0.0,0.0,0.0,0.0,0.0031065940856933594,5,4,5,0,1,2,0.0,0.00504
6180,0.0,0.0,0.0,0.0,0.0031614303588867188,4,3,3,0,1,1,0.0,0.00432
6240,0.0,0.031218528747558594,0.0,0.0015337467193603516,0.004619598388671875,1,1,6,1,0,2,4e-05,0.03715
6300,0.0,0.0,0.0,0.0015468597412109375,0.003135204315185547,2,2,2,0,0,2,0.0,0.00475
6360,0.0,0.0,0.0,0.0,0.0031065940856933594,2,2,2,0,0,2,0.0,0.00347
6420,0.0,0.0399320125579834,0.0,0.001535654067993164,0.001558065414428711,1,1,5,1,0,1,4e-05,0.0438
6480,0.0,0.0,0.0,0.0,0.0016372203826904297,2,2,2,0,0,2,0.0,0.00358
6540,0.0,0.016635417938232422,0.0,0.0005054473876953125,0.003024578094482422,1,1,5,1,0,1,4e-05,0.02144
6600,0.0,0.0743558406829834,0.0015718936920166016,0.003197193145751953,0.003173828125,2,2,10,2,0,2,6.000000000000001e-05,0.08429
6660,0.0,0.06940412521362305,0.001567840576171875,0.08092284202575684,0.0031800270080566406,8,6,14,2,2,1,8.999999999999999e-05,0.15783
6720,0.0,0.0,0.0739736557006836,0.0,0.002682209014892578,13,9,9,0,4,0,0.0,0.07939
6780,0.0,0.0,0.009133577346801758,0.0,0.002838134765625,6,6,6,0,3,1,0.0,0.01438
6840,0.0,0.05480837821960449,0.013646125793457031,0.1452629566192627,0.003047466278076172,6,5,15,2,2,2,7.000000000000001e-05,0.21803
6900,0.0,0.05838346481323242,0.028104305267333984,0.05674433708190918,0.002596616744995117,11,10,15,2,3,3,8e-05,0.14784
6960,0.0,0.0,0.0030465126037597656,0.0,0.003060579299926758,7,7,7,0,2,5,0.0,0.00734
7020,0.0,0.0,0.0016300678253173828,0.028178930282592773,0.0032258033752441406,7,7,7,0,2,4,0.0,0.03475
7080,0.0,0.0,0.0005056858062744141,0.0,0.003034353256225586,4,4,4,0,1,3,0.0,0.00603
7140,0.0,0.022678852081298828,0.0,0.005052328109741211,0.0030281543731689453,4,4,8,1,0,4,5e-05,0.03323
