sim_time,reservation_time_trigger,repositioning_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
1680,0.0,0.0,0.04568004608154297,0.10216498374938965,0.16815829277038574,0.004542112350463867,31,24,51,0,6,6,0.06314,0.32549
1740,0.0,0.0,0.06101799011230469,0.1099092960357666,0.017823457717895508,0.006598711013793945,37,30,60,0,7,6,0.26587,0.1978
1800,0.0,0.017,0.10318946838378906,0.00032329559326171875,0.04234600067138672,0.004777669906616211,15,16,54,0,5,8,0.12556,0.15417
1860,0.0,0.0,0.028302907943725586,0.012132883071899414,0.046518802642822266,0.003314495086669922,15,12,22,0,3,10,0.15772,0.09324
1920,0.0,0.0,0.09027338027954102,0.020222187042236328,0.030609607696533203,0.004044771194458008,7,11,25,0,4,11,0.09789,0.14948
1980,0.0,0.0,0.038295745849609375,0.0,0.018930673599243164,0.0032896995544433594,12,11,19,0,2,14,0.04215,0.06283
2040,0.0,0.0,0.06411504745483398,0.005574226379394531,0.06931781768798828,0.002572298049926758,16,19,39,0,4,11,0.11516,0.14554
2100,0.0,0.018,0.0,0.0015878677368164062,0.011003971099853516,0.0031578540802001953,15,15,15,0,2,10,0.0,0.01887
2160,0.0,0.0,0.033684730529785156,0.0,0.013124942779541016,0.0031752586364746094,7,7,17,0,1,8,0.0696,0.05231
2220,0.0,0.0,0.0331118106842041,0.0,0.006273508071899414,0.0031647682189941406,11,10,24,0,2,5,0.03458,0.04524
2280,0.0,0.0,0.1070718765258789,0.0,0.02303028106689453,0.0035703182220458984,6,6,38,0,3,6,0.11501,0.13652
2340,0.0,0.0,0.10476994514465332,0.0,0.017329931259155273,0.005052328109741211,6,6,40,0,4,5,0.18280000000000002,0.13312
2400,0.0,0.02,0.07852363586425781,0.0,0.009505271911621094,0.0031960010528564453,7,8,28,0,3,7,0.08409,0.09466
2460,0.0,0.0,0.0,0.0015685558319091797,0.007773637771606445,0.0031807422637939453,14,14,14,0,2,6,0.0,0.01513
2520,0.0,0.0,0.16949725151062012,0.0,0.07686328887939453,0.0051114559173583984,6,8,66,0,6,7,0.18803999999999998,0.25479
2580,0.0,0.0,0.0,0.02623271942138672,0.025028705596923828,0.00324249267578125,25,23,26,0,3,6,0.0,0.05691
