sim_time,reservation_time_trigger,repositioning_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
5640,0.0,0.0,0.03934907913208008,0.001627206802368164,0.009275436401367188,0.0031409263610839844,11,10,29,0,3,7,0.04513,0.05751
5700,0.0,0.0,0.03508353233337402,0.0,0.004065275192260742,0.0030524730682373047,6,6,16,0,2,5,0.03642,0.04416
5760,0.0,0.0,0.1551191806793213,0.0016148090362548828,0.024981260299682617,0.003695964813232422,5,7,47,0,5,6,0.16818,0.18922
5820,0.0,0.0,0.0,0.0018815994262695312,0.010343074798583984,0.004678249359130859,25,24,25,0,3,7,0.0,0.01884
5880,0.0,0.0,0.07774925231933594,0.004682064056396484,0.004788398742675781,0.003153085708618164,8,8,24,0,3,7,0.08283,0.09446
5940,0.0,0.0,0.03745126724243164,0.003050565719604492,0.02890300750732422,0.004057407379150391,16,16,29,0,4,5,0.03986,0.07657
6000,0.0,0.0,0.0,0.024724483489990234,0.0,0.0030570030212402344,28,17,17,0,4,4,0.0,0.03068
6060,0.0,0.0,0.038071632385253906,0.003957509994506836,0.008138179779052734,0.0031785964965820312,6,6,16,0,3,3,0.04322,0.05608
6120,0.0,0.0,0.0,0.0,0.0,0.0028641223907470703,5,5,5,0,0,5,0.0,0.00475
6180,0.0,0.0,0.0740969181060791,0.0005047321319580078,0.007235288619995117,0.0032579898834228516,5,5,23,0,2,5,0.09681000000000001,0.08749
6240,0.0,0.0,0.10731220245361328,0.0031762123107910156,0.04127073287963867,0.003666400909423828,10,12,39,0,4,6,0.11195,0.159
6300,0.0,0.0,0.0,0.014665603637695312,0.02431344985961914,0.0032126903533935547,19,15,17,0,2,6,0.0,0.04456
6360,0.0,0.0,0.029098987579345703,0.0,0.0029904842376708984,0.002573728561401367,5,5,15,0,1,5,0.03097,0.03764
6420,0.0,0.0,0.12369680404663086,0.0,0.026423931121826172,0.003148317337036133,4,6,47,0,4,5,0.13065,0.15691
6480,0.0,0.0,0.07374835014343262,0.0016164779663085938,0.01143789291381836,0.004951953887939453,12,11,28,0,3,7,0.07687,0.09314
6540,0.0,0.0,0.07044219970703125,0.0010273456573486328,0.014715909957885742,0.0031692981719970703,12,12,21,0,3,8,0.07334,0.09323
6600,0.0,0.0,0.02516341209411621,0.001544952392578125,0.015764236450195312,0.0031948089599609375,11,13,22,0,2,10,0.02678,0.04804
6660,0.0,0.0,0.027431964874267578,0.0015201568603515625,0.013679981231689453,0.003056764602661133,10,10,23,0,2,6,0.02991,0.04838
6720,0.0,0.0,0.07503247261047363,0.0,0.007120609283447266,0.0030333995819091797,6,6,22,0,2,6,0.07805999999999999,0.0878
6780,0.0,0.0,0.04718303680419922,0.0010118484497070312,0.02440953254699707,0.0035691261291503906,11,9,28,0,3,6,0.05208,0.07934
6840,0.0,0.0,0.03959393501281738,0.0,0.0074460506439208984,0.0032706260681152344,13,11,18,0,2,8,0.04513,0.05436
6900,0.0,0.0,0.0,0.0015480518341064453,0.0,0.0031347274780273438,11,11,13,0,1,7,0.0,0.00648
6960,0.0,0.0,0.037375688552856445,0.0015702247619628906,0.013956069946289062,0.0031325817108154297,5,6,19,0,2,3,0.03973,0.05782
7020,0.0,0.0,0.037841081619262695,0.0,0.003139972686767578,0.0018057823181152344,7,5,16,0,2,4,0.03922,0.04551
7080,0.0,0.0,0.0,0.0,0.0,0.003177642822265625,4,4,4,0,0,4,0.0,0.00487
7140,0.0,0.0,0.07155251502990723,0.0,0.004567623138427734,0.0030517578125,4,4,25,0,2,4,0.07838,0.08205
